id, duration, avgHeartRate, maxHeartRate, dateOfTraining, elevation, uphill, downhill, length_2d, length_3d, moving_time, stopped_time
Rider7, 8418, 109.19, 158, 2012-07-25 14:51:02, 1839.56, 923.88, 915.68, 35611.96, 35751.74, 8299.0, 119.0
Rider7, 6342, 103.2, 132, 2014-07-07 08:26:21, 371.16, 188.48, 182.68, 45686.62, 45697.51, 6174.0, 168.0
Rider7, 10873, 101.71, 138, 2012-07-31 15:38:49, 660.32, 327.36, 332.96, 58296.2, 58330.77, 7941.0, 2932.0
Rider7, 8677, 120.39, 163, 2013-04-04 13:32:44, 2216.84, 1104.82, 1112.02, 34933.46, 35074.32, 8554.0, 123.0
Rider7, 6421, 121.72, 166, 2013-03-28 14:13:55, 1673.64, 817.92, 855.72, 28591.82, 28720.86, 6207.0, 214.0
Rider7, 5798, 121.34, 159, 2013-09-02 15:16:08, 1262.56, 623.28, 639.28, 20079.83, 20196.59, 5397.0, 401.0
Rider7, 10331, 119.17, 150, 2014-06-20 09:02:49, 1069.32, 534.66, 534.66, 79915.24, 79956.12, 10205.0, 126.0
Rider7, 170707, 116.48, 164, 2014-09-27 08:29:35, 4833.04, 2396.42, 2436.62, 82867.61, 83316.62, 20387.0, 150320.0
Rider7, 8315, 106.02, 133, 2014-08-29 08:43:28, 656.24, 343.72, 312.52, 58276.88, 58301.56, 8139.0, 176.0
Rider7, 6990, 108.96, 154, 2014-07-20 07:10:58, 1545.0, 776.5, 768.5, 23424.27, 23562.05, 6805.0, 185.0
Rider7, 9435, 129.63, 164, 2014-03-28 09:39:35, 474.76, 234.68, 240.08, 75824.61, 75839.01, 9326.0, 109.0
Rider7, 11560, 104.26, 158, 2014-10-16 10:24:27, 2327.84, 1164.12, 1163.72, 40848.71, 41060.85, 11126.0, 434.0
Rider7, 8845, 118.2, 163, 2013-04-27 13:48:20, 2097.64, 1048.02, 1049.62, 29522.62, 29731.65, 8378.0, 467.0
Rider7, 8304, 118.98, 156, 2014-02-21 10:33:58, 788.16, 395.88, 392.28, 61813.81, 61844.44, 8113.0, 191.0
Rider7, 4878, 103.73, 138, 2014-07-18 09:06:46, 891.16, 451.38, 439.78, 10590.7, 10719.26, 4386.0, 492.0
Rider7, 5138, 120.3, 147, 2014-06-09 08:01:56, 437.92, 223.16, 214.76, 36463.43, 36674.77, 4524.0, 614.0
Rider7, 5803, 136.82, 167, 2014-07-26 08:13:49, 1382.2, 680.8, 701.4, 18970.2, 19097.31, 5797.0, 6.0
Rider7, 7566, 118.87, 164, 2014-08-07 08:20:40, 1695.72, 849.96, 845.76, 26320.22, 26463.1, 7281.0, 285.0
Rider7, 8942, 128.53, 153, 2013-01-06 09:35:13, 1114.96, 560.88, 554.08, 64478.54, 64519.74, 8451.0, 491.0
Rider7, 9305, 121.06, 156, 2013-02-21 09:30:23, 2361.2, 1169.8, 1191.4, 40934.23, 41094.57, 8587.0, 718.0
Rider7, 21697, 126.25, 164, 2013-02-18 10:01:51, 3862.88, 1945.64, 1917.24, 61834.51, 62181.77, 15764.0, 5933.0
Rider7, 13550, 118.13, 156, 2014-05-24 09:07:49, 3081.04, 1545.22, 1535.82, 40493.75, 40811.32, 12863.0, 687.0
Rider7, 6599, 133.48, 168, 2013-08-04 07:04:43, 1708.44, 855.42, 853.02, 23167.54, 23322.33, 6454.0, 145.0
Rider7, 4850, 118.28, 137, 2014-04-07 08:06:43, 247.76, 126.48, 121.28, 38132.73, 38143.45, 4761.0, 89.0
Rider7, 11686, 122.39, 167, 2014-09-14 07:44:33, 3104.68, 1578.54, 1526.14, 58134.65, 58310.96, 11644.0, 42.0
Rider7, 7949, 105.64, 148, 2013-02-22 09:32:26, 1679.2, 860.8, 818.4, 30567.84, 30729.98, 7524.0, 425.0
Rider7, 6265, 138.23, 161, 2013-11-17 09:19:35, 522.4, 263.8, 258.6, 48962.75, 48978.54, 6244.0, 21.0
Rider7, 9727, 115.51, 148, 2014-04-08 08:04:26, 2095.88, 1048.14, 1047.74, 37788.65, 37955.82, 9026.0, 701.0
Rider7, 8847, 128.87, 166, 2013-08-17 05:35:20, 1926.56, 965.38, 961.18, 32267.34, 32409.62, 8651.0, 196.0
Rider7, 9260, 116.8, 162, 2014-05-08 08:25:13, 2313.84, 1175.92, 1137.92, 38333.2, 38502.58, 8913.0, 347.0
Rider7, 8387, 113.07, 156, 2014-07-23 15:31:34, 1867.76, 931.28, 936.48, 24613.05, 24790.59, 7343.0, 1044.0
Rider7, 6662, 123.79, 144, 2013-05-13 12:58:48, 429.72, 216.36, 213.36, 53763.97, 53779.93, 6434.0, 228.0
Rider7, 8283, 111.87, 162, 2014-08-15 04:33:24, 1735.8, 867.0, 868.8, 53431.44, 53500.12, 8210.0, 73.0
Rider7, 6595, 109.54, 146, 2014-10-21 09:51:22, 1696.4, 869.4, 827.0, 23765.3, 23929.17, 6519.0, 76.0
Rider7, 9060, 115.56, 163, 2014-07-11 07:59:06, 1912.4, 958.0, 954.4, 47501.66, 47606.28, 8948.0, 112.0
Rider7, 13118, 106.9, 149, 2014-04-12 08:30:42, 2491.0, 1250.8, 1240.2, 41552.66, 41760.98, 12541.0, 577.0
Rider7, 8983, 110.67, 150, 2014-05-09 08:56:47, 2041.76, 1028.08, 1013.68, 33455.53, 33620.44, 8554.0, 429.0
