"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"495";"Rider3";"31/2011";0;0;0;2;11125;133,69;2;7341;136,22;0;0;0;2;7734;131,58;3;13183;165,77;1;18053;115,16;0,714285714285714;7,65201172395417;2,24266324887443;10,6089606871143;"good"
"496";"Rider5";"31/2011";0;0;0;0;0;0;0;0;0;0;0;0;1;31910;107,55;0;0;0;0;0;0;0,0714285714285714;4,25126565414335;0,353445726116534;4,67613995168846;"bad"
"497";"Rider4";"31/2011";0;0;0;0;0;0;2;15429;130,41;2;5687;136,22;0;0;0;3;13023;168,98;3;6665;159;0,714285714285714;5,43618438582467;1,95408984849979;8,10455994861018;"good"
"498";"Rider3";"19/2012";1;72698;80,97;2;10256;135,58;0;0;0;2;6987;140,53;2;11352;134,68;2;8746;131,86;0;0;0;0,642857142857143;14,660138555822;2,04942653389858;17,3524222325777;"good"
"499";"Rider2";"19/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8454;129,01;0,142857142857143;1,12629896083133;0,423970554405337;1,69312665809381;"bad"
"500";"Rider4";"19/2012";0;0;0;2;14426;126,49;1;17011;114,91;2;14259;123,18;1;14094;116,09;1;14611;108,49;1;8736;116,32;0,571428571428571;11,076072475353;2,31844621906734;13,965947265849;"good"
"501";"Rider3";"27/2012";0;0;0;2;9918;125,63;2;11261;124,28;0;0;0;0;0;0;3;22009;149,99;2;10272;129,44;0,642857142857143;7,12230215827338;1,73959052219922;9,50474982332974;"good"
"502";"Rider4";"27/2012";1;6101;87,36;3;16187;148,57;2;12131;120,89;0;0;0;1;2603;103,36;0;0;0;0;0;0;0,5;4,93232081001865;1,51230733839429;6,94462814841295;"good"
"503";"Rider3";"27/2013";0;0;0;3;4402;141,51;2;7084;128,3;0;0;0;0;0;0;0;0;0;0;0;0;0,357142857142857;1,53024247268852;0,886687041966545;2,77407237179792;"bad"
"504";"Rider5";"27/2013";2;4644;129,65;0;0;0;0;0;0;0;0;0;0;0;0;2;4897;121,34;0;0;0;0,285714285714286;1,27111644018119;0,824838147819514;2,38166887371499;"bad"
"505";"Rider2";"27/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9575;101,31;0;0;0;0,0714285714285714;1,27564614974687;0,332938972690525;1,68001369386597;"bad"
"506";"Rider4";"27/2013";2;7246;123,26;2;6334;136,09;0;0;0;2;9382;121,41;0;0;0;1;7017;114,78;0;0;0;0,5;3,99400479616307;1,62851227447501;6,12251707063808;"good"
"507";"Rider3";"50/2013";2;4273;128,88;0;0;0;0;0;0;2;7006;131,72;0;0;0;0;0;0;2;7131;129,07;0,428571428571429;2,45270450306422;1,28058759735778;4,16186352899343;"bad"
"508";"Rider5";"50/2013";0;0;0;2;5534;126,69;2;7558;128,15;2;3993;126,17;0;0;0;2;11798;135,19;0;0;0;0,571428571428571;3,84798827604583;1,69640803181176;6,11582487928616;"good"
"509";"Rider4";"50/2013";2;9815;140,45;2;16327;122,12;2;8767;124,56;2;15017;122,19;2;8462;139,22;2;9709;131,73;2;7690;139,67;1;10,0968558486544;3,02323441453876;14,1200902631932;"good"
"510";"Rider3";"25/2012";1;10907;112;2;10693;125,39;0;0;0;0;0;0;0;0;0;0;0;0;2;12756;137,55;0,357142857142857;4,57713828936851;1,23217982845312;6,16646097496448;"good"
"511";"Rider4";"25/2012";2;8346;121,49;3;12461;141,18;2;11571;124,3;1;16333;113,72;0;0;0;0;0;0;2;13456;124,38;0,714285714285714;8,28230748734346;2,05419172499918;11,0507849266284;"good"
"512";"Rider3";"13/2012";0;0;0;1;14871;116,87;2;85962;132,52;2;12650;127,89;0;0;0;2;11974;129,27;2;11285;128,45;0,642857142857143;18,2176925126565;2,08682506819153;20,9473747237052;"good"
"513";"Rider4";"13/2012";0;0;0;3;8084;157,55;0;0;0;2;9383;134,87;0;0;0;0;0;0;0;0;0;0,357142857142857;2,32707167599254;0,960991159748924;3,64520569288432;"bad"
"514";"Rider3";"33/2011";2;13117;122,07;2;13283;123,85;0;0;0;3;5730;147,01;0;0;0;2;3088;135,08;3;13712;158,9;0,857142857142857;6,51878497202238;2,25741890959282;9,63334673875806;"good"
"515";"Rider5";"33/2011";0;0;0;2;1357;125,12;0;0;0;2;6557;126,06;2;6427;121,99;0;0;0;1;11277;107,7;0,5;3,41300293098854;1,58030168589175;5,49330461688029;"good"
"516";"Rider4";"33/2011";2;14886;122,25;2;7026;136,08;2;13530;122,49;0;0;0;2;11212;119,93;2;3171;126,82;2;6646;135,26;0,857142857142857;7,52344790834;2,50691774294259;10,8875085084254;"good"
"517";"Rider3";"39/2011";1;7398;112,49;0;0;0;2;7644;130,08;0;0;0;2;5252;131,09;2;9666;134,01;2;9773;126,03;0,642857142857143;5,29349853450573;2,08255282789444;8,01890850525731;"good"
"518";"Rider1";"39/2011";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18790;136,08;0;0;0;0,142857142857143;2,5033306687983;0,447204968944099;3,09339278059954;"bad"
"519";"Rider4";"39/2011";2;5157;139,85;3;4911;141,48;2;4150;135,64;3;7103;153,83;0;0;0;2;15715;133,9;2;9244;130,81;1;6,16573407940314;2,74576883893654;9,91150291833969;"good"
"520";"Rider3";"37/2013";0;0;0;2;6966;129,75;0;0;0;2;3193;140,85;0;0;0;2;4908;130,77;3;12238;157,68;0,642857142857143;3,63775646149747;1,83722764468106;6,11784124903567;"good"
"521";"Rider5";"37/2013";0;0;0;0;0;0;0;0;0;2;5865;126,52;1;4478;116,48;0;0;0;0;0;0;0,214285714285714;1,37796429523048;0,798580301685892;2,39083031120209;"bad"
