"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"717";"Rider5";"16/2011";0;0;0;2;85203;124,6;2;7847;135,04;0;0;0;0;0;0;2;5065;137,08;2;10823;129,96;0,571428571428571;14,5134559019451;1,73084886128364;16,8157333346573;"good"
"723";"Rider5";"34/2009";0;0;0;1;9596;113,06;0;0;0;2;5811;124,69;0;0;0;2;4620;125,19;3;27100;148,22;0,571428571428571;6,27857713828937;1,67984488481383;8,52985059453177;"good"
"725";"Rider5";"12/2011";0;0;0;2;6048;121,75;0;0;0;2;8639;120,95;0;0;0;1;24780;116,65;0;0;0;0,357142857142857;5,25806021849187;1,180945808275;6,79614888390973;"good"
"726";"Rider5";"9/2011";0;0;0;0;0;0;0;0;0;3;11920;142,35;2;6834;128,26;0;0;0;2;12017;120,79;0,5;4,09952038369305;1,2862729632916;5,88579334698464;"good"
"729";"Rider4";"41/2012";0;0;0;2;9375;125,21;2;3445;127,65;1;2444;114,86;2;9963;123,74;0;0;0;2;3158;130,17;0,642857142857143;3,7816413535838;2,04288671990535;6,4673852163463;"good"
"737";"Rider5";"14/2009";0;0;0;0;0;0;0;0;0;0;0;0;2;17360;124,93;2;28848;128,07;0;0;0;0,285714285714286;6,15614175326406;0,831443688586546;7,27329972756489;"good"
"741";"Rider5";"28/2010";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;175418;97;0;0;0;0,0714285714285714;23,3703703703704;0,318774852936344;23,7605737947353;"good"
"743";"Rider5";"47/2014";0;0;0;0;0;0;2;5199;133,42;0;0;0;2;3753;131,19;2;5771;129,2;2;8385;131,11;0,571428571428571;3,07860378363975;1,72506490518913;5,37509726025745;"good"
"744";"Rider1";"47/2014";0;0;0;0;0;0;3;4161;142,49;3;3473;151,92;3;12725;145,7;2;5627;130,96;0;0;0;0,785714285714286;3,46203037569944;1,87672943573565;6,12447409714937;"good"
"746";"Rider5";"2/2009";0;0;0;0;0;0;0;0;0;0;0;0;2;12930;134,98;3;17666;141,25;0;0;0;0,357142857142857;4,07620570210498;0,907785336356765;5,3411338956046;"good"
"749";"Rider1";"48/2014";0;0;0;3;5606;141,48;0;0;0;3;2335;143,45;2;11031;140,06;2;7157;138,68;0;0;0;0,714285714285714;3,48108180122569;1,85241052942916;6,04777804494056;"good"
"758";"Rider5";"2/2011";0;0;0;0;0;0;2;20324;137,31;2;10194;123,69;0;0;0;2;11294;123,37;0;0;0;0,428571428571429;5,57047695177192;1,26317000230044;7,26221838264378;"good"
"781";"Rider2";"44/2013";2;8184;126,08;0;0;0;0;0;0;1;12125;107,43;1;8235;114,73;0;0;0;2;5191;124,85;0,428571428571429;4,49440447641887;1,55473397088304;6,47770987587333;"good"
"785";"Rider4";"17/2012";0;0;0;0;0;0;2;13885;122,95;1;5494;88,69;1;13706;89,93;0;0;0;3;9111;156,92;0,5;5,62163602451372;1,50675342600808;7,62838945052181;"good"
