"avgHeartRate";"intensity";"Rider_id";"duration";"dateOfTraining";"id";"cluster"
122.17;2.0;"Rider4";16276.0;2/7/14 9:39 AM;2496.0;"cluster_0"
118.65;2.0;"Rider4";20971.0;5/1/14 8:43 AM;2497.0;"cluster_0"
137.9;2.0;"Rider4";4983.0;10/1/13 5:45 PM;2498.0;"cluster_0"
151.4;3.0;"Rider4";10860.0;1/21/12 9:13 AM;2499.0;"cluster_1"
149.85;3.0;"Rider4";3675.0;8/24/13 2:26 PM;2500.0;"cluster_1"
116.42;1.0;"Rider4";15937.0;12/2/13 10:02 AM;2501.0;"cluster_2"
118.59;2.0;"Rider4";8916.0;10/6/11 1:38 PM;2502.0;"cluster_0"
118.46;2.0;"Rider4";6619.0;6/17/12 9:08 AM;2503.0;"cluster_0"
116.53;1.0;"Rider4";14646.0;7/23/13 1:26 PM;2504.0;"cluster_2"
128.47;2.0;"Rider4";18365.0;9/8/13 8:40 AM;2505.0;"cluster_0"
89.0;1.0;"Rider4";110.0;1/15/13 6:16 PM;2506.0;"cluster_2"
144.31;3.0;"Rider4";12626.0;2/18/12 10:21 AM;2507.0;"cluster_1"
132.52;2.0;"Rider4";12003.0;6/7/12 1:59 PM;2508.0;"cluster_0"
135.64;2.0;"Rider4";4150.0;9/28/11 12:05 PM;2509.0;"cluster_0"
113.55;1.0;"Rider4";5250.0;2/11/15 10:22 AM;2510.0;"cluster_2"
124.02;2.0;"Rider4";8649.0;9/23/13 12:47 PM;2511.0;"cluster_0"
123.18;2.0;"Rider4";14259.0;5/10/12 12:05 PM;2512.0;"cluster_0"
108.75;1.0;"Rider4";4756.0;4/14/12 10:29 AM;2513.0;"cluster_2"
103.39;1.0;"Rider4";10014.0;10/5/14 11:06 AM;2514.0;"cluster_2"
117.68;1.0;"Rider4";2877.0;8/1/13 11:36 AM;2515.0;"cluster_2"
146.42;3.0;"Rider4";12417.0;8/23/11 8:24 AM;2516.0;"cluster_1"
121.41;2.0;"Rider4";9382.0;7/4/13 2:38 PM;2517.0;"cluster_0"
116.36;1.0;"Rider4";8357.0;11/14/13 11:29 AM;2518.0;"cluster_2"
133.42;2.0;"Rider4";12998.0;3/2/12 10:35 AM;2519.0;"cluster_0"
117.08;1.0;"Rider4";7014.0;6/26/13 2:44 PM;2520.0;"cluster_2"
116.06;1.0;"Rider4";8309.0;12/1/13 11:03 AM;2521.0;"cluster_2"
102.67;1.0;"Rider4";12269.0;9/8/14 9:31 AM;2522.0;"cluster_2"
101.03;1.0;"Rider4";6514.0;4/9/14 10:17 AM;2523.0;"cluster_2"
122.0;2.0;"Rider4";491881.0;6/10/13 3:23 PM;2524.0;"cluster_0"
143.9;3.0;"Rider4";9490.0;1/25/12 9:15 AM;2525.0;"cluster_1"
114.37;1.0;"Rider4";17022.0;8/1/12 12:41 PM;2526.0;"cluster_2"
121.32;2.0;"Rider4";9460.0;2/26/14 9:33 AM;2527.0;"cluster_0"
88.33;1.0;"Rider4";3484.0;8/22/14 11:02 AM;2528.0;"cluster_2"
125.16;2.0;"Rider4";18230.0;8/30/11 8:08 AM;2529.0;"cluster_0"
139.67;2.0;"Rider4";7690.0;12/15/13 8:13 AM;2530.0;"cluster_0"
126.93;2.0;"Rider4";11232.0;6/18/14 1:55 PM;2531.0;"cluster_0"
130.17;2.0;"Rider4";3158.0;10/14/12 4:34 PM;2532.0;"cluster_0"
108.46;1.0;"Rider4";9748.0;3/10/14 10:58 AM;2533.0;"cluster_2"
121.7;2.0;"Rider4";11490.0;2/24/12 10:28 AM;2534.0;"cluster_0"
131.73;2.0;"Rider4";9730.0;2/10/14 11:54 AM;2535.0;"cluster_0"
141.57;3.0;"Rider4";18001.0;7/10/12 9:48 AM;2536.0;"cluster_1"
87.36;1.0;"Rider4";6101.0;7/2/12 9:15 AM;2537.0;"cluster_2"
109.57;1.0;"Rider4";10107.0;4/19/13 11:06 AM;2538.0;"cluster_2"
110.76;1.0;"Rider4";13421.0;1/10/14 9:59 AM;2539.0;"cluster_2"
133.04;2.0;"Rider4";12552.0;7/30/13 6:11 AM;2540.0;"cluster_0"
121.49;2.0;"Rider4";15441.0;1/27/13 9:53 AM;2541.0;"cluster_0"
117.68;1.0;"Rider4";13864.0;4/29/13 9:49 AM;2542.0;"cluster_2"
120.02;2.0;"Rider4";3513.0;7/27/13 12:46 PM;2543.0;"cluster_0"
105.8;1.0;"Rider4";9720.0;3/19/13 12:05 PM;2544.0;"cluster_2"
125.84;2.0;"Rider4";12324.0;4/30/12 10:23 AM;2545.0;"cluster_0"
104.84;1.0;"Rider4";9725.0;8/2/14 2:32 PM;2546.0;"cluster_2"
144.69;3.0;"Rider4";15206.0;6/10/14 2:45 PM;2547.0;"cluster_1"
136.19;2.0;"Rider4";15027.0;1/14/15 1:47 PM;2548.0;"cluster_0"
109.56;1.0;"Rider4";466.0;10/10/13 12:18 PM;2549.0;"cluster_2"
127.54;2.0;"Rider4";20069.0;1/22/14 9:25 AM;2550.0;"cluster_0"
92.68;1.0;"Rider4";4487.0;4/9/12 2:59 PM;2551.0;"cluster_2"
103.15;1.0;"Rider4";6880.0;3/30/13 9:49 AM;2552.0;"cluster_2"
126.85;2.0;"Rider4";11287.0;4/8/12 9:05 AM;2553.0;"cluster_0"
98.53;1.0;"Rider4";9330.0;8/8/14 12:15 PM;2554.0;"cluster_2"
141.64;3.0;"Rider4";9763.0;8/22/13 10:51 AM;2555.0;"cluster_1"
133.46;2.0;"Rider4";17901.0;2/8/14 11:19 AM;2556.0;"cluster_0"
113.15;1.0;"Rider4";16803.0;7/6/14 6:50 AM;2557.0;"cluster_2"
129.56;2.0;"Rider4";15039.0;6/20/13 7:44 AM;2558.0;"cluster_0"
83.75;1.0;"Rider4";5490.0;7/30/12 10:33 AM;2559.0;"cluster_2"
113.59;1.0;"Rider4";12116.0;7/9/14 1:34 PM;2560.0;"cluster_2"
152.78;3.0;"Rider4";1730.0;6/2/12 4:14 PM;2561.0;"cluster_1"
132.29;2.0;"Rider4";13571.0;7/3/14 9:08 AM;2562.0;"cluster_0"
128.14;2.0;"Rider4";19589.0;5/18/14 8:16 AM;2563.0;"cluster_0"
126.55;2.0;"Rider4";14871.0;8/26/14 2:18 PM;2564.0;"cluster_0"
114.26;1.0;"Rider4";16789.0;1/20/14 9:35 AM;2565.0;"cluster_2"
116.09;1.0;"Rider4";14094.0;5/11/12 12:16 PM;2566.0;"cluster_2"
112.94;1.0;"Rider4";14444.0;3/19/14 9:39 AM;2567.0;"cluster_2"
114.25;1.0;"Rider4";4422.0;4/6/13 2:03 PM;2568.0;"cluster_2"
113.01;1.0;"Rider4";19683.0;5/25/14 8:01 AM;2569.0;"cluster_2"
145.5;3.0;"Rider4";3159.0;2/1/12 5:33 PM;2570.0;"cluster_1"
114.5;1.0;"Rider4";9368.0;8/13/14 8:13 AM;2571.0;"cluster_2"
150.16;3.0;"Rider4";4252.0;1/9/12 12:01 PM;2572.0;"cluster_1"
139.22;2.0;"Rider4";8462.0;12/13/13 11:38 AM;2573.0;"cluster_0"
142.53;3.0;"Rider4";16461.0;1/28/12 8:40 AM;2574.0;"cluster_1"
142.95;3.0;"Rider4";9739.0;8/24/11 12:28 PM;2575.0;"cluster_1"
106.17;1.0;"Rider4";4549.0;4/22/14 11:18 AM;2576.0;"cluster_2"
134.87;2.0;"Rider4";9383.0;3/29/12 12:46 PM;2577.0;"cluster_0"
132.43;2.0;"Rider4";14751.0;2/25/12 9:31 AM;2578.0;"cluster_0"
124.58;2.0;"Rider4";12038.0;7/15/13 12:34 PM;2579.0;"cluster_0"
116.89;1.0;"Rider4";3721.0;10/3/11 2:34 PM;2580.0;"cluster_2"
132.59;2.0;"Rider4";3484.0;10/26/12 4:38 PM;2581.0;"cluster_0"
122.54;2.0;"Rider4";4893.0;4/7/12 1:41 PM;2582.0;"cluster_0"
105.02;1.0;"Rider4";8560.0;4/30/14 9:09 AM;2583.0;"cluster_2"
133.21;2.0;"Rider4";10119.0;2/21/12 11:02 AM;2584.0;"cluster_0"
115.38;1.0;"Rider4";5652.0;8/23/14 8:57 AM;2585.0;"cluster_2"
150.66;3.0;"Rider4";2536.0;1/27/15 10:30 AM;2586.0;"cluster_1"
124.62;2.0;"Rider4";12986.0;3/20/12 12:58 PM;2587.0;"cluster_0"
101.91;1.0;"Rider4";6389.0;9/16/13 1:51 PM;2588.0;"cluster_2"
134.2;2.0;"Rider4";3971.0;1/11/12 11:47 AM;2589.0;"cluster_0"
122.54;2.0;"Rider4";11738.0;9/11/14 10:00 AM;2590.0;"cluster_0"
148.15;3.0;"Rider4";2642.0;11/13/13 11:21 AM;2591.0;"cluster_1"
110.1;1.0;"Rider4";10432.0;2/13/14 10:38 AM;2592.0;"cluster_2"
139.49;2.0;"Rider4";17564.0;1/16/15 10:09 AM;2593.0;"cluster_0"
131.77;2.0;"Rider4";11145.0;7/25/13 9:26 AM;2594.0;"cluster_0"
127.49;2.0;"Rider4";8165.0;10/9/11 9:21 AM;2595.0;"cluster_0"
93.0;1.0;"Rider4";8426.0;7/7/14 8:12 AM;2596.0;"cluster_2"
130.84;2.0;"Rider4";844.0;2/4/12 5:49 PM;2597.0;"cluster_0"
127.99;2.0;"Rider4";2340.0;4/9/14 12:43 PM;2598.0;"cluster_0"
124.61;2.0;"Rider4";18658.0;9/24/13 10:43 AM;2599.0;"cluster_0"
141.7;3.0;"Rider4";12148.0;3/1/12 10:49 AM;2600.0;"cluster_1"
134.93;2.0;"Rider4";10222.0;8/22/12 2:19 PM;2601.0;"cluster_0"
112.76;1.0;"Rider4";11933.0;3/1/14 9:36 AM;2602.0;"cluster_2"
121.74;2.0;"Rider4";12530.0;8/18/14 9:24 AM;2603.0;"cluster_0"
86.74;1.0;"Rider4";3239.0;5/31/12 2:32 PM;2604.0;"cluster_2"
151.0;3.0;"Rider4";12218.0;12/16/13 10:03 AM;2605.0;"cluster_1"
116.32;1.0;"Rider4";8736.0;5/13/12 10:46 AM;2606.0;"cluster_2"
122.46;2.0;"Rider4";15016.0;1/6/14 10:02 AM;2607.0;"cluster_0"
83.5;1.0;"Rider4";1716.0;6/6/12 5:33 PM;2608.0;"cluster_2"
134.17;2.0;"Rider4";18216.0;8/7/14 8:14 AM;2609.0;"cluster_0"
131.48;2.0;"Rider4";10925.0;8/29/12 2:04 PM;2610.0;"cluster_0"
84.88;1.0;"Rider4";11073.0;7/29/13 7:49 AM;2611.0;"cluster_2"
138.27;2.0;"Rider4";10151.0;4/24/13 12:53 PM;2612.0;"cluster_0"
127.09;2.0;"Rider4";3518.0;9/6/12 9:33 AM;2613.0;"cluster_0"
118.53;2.0;"Rider4";2704.0;1/18/13 6:28 PM;2614.0;"cluster_0"
142.69;3.0;"Rider4";9662.0;1/23/12 10:35 AM;2615.0;"cluster_1"
143.26;3.0;"Rider4";7672.0;1/28/14 1:28 PM;2616.0;"cluster_1"
64.5;1.0;"Rider4";2.0;9/16/13 3:39 PM;2617.0;"cluster_2"
108.99;1.0;"Rider4";11553.0;9/10/14 12:25 PM;2618.0;"cluster_2"
111.7;1.0;"Rider4";7900.0;3/2/14 8:59 AM;2619.0;"cluster_2"
128.58;2.0;"Rider4";15008.0;8/21/14 11:13 AM;2620.0;"cluster_0"
139.86;2.0;"Rider4";4535.0;9/10/12 10:48 AM;2621.0;"cluster_0"
135.81;2.0;"Rider4";18311.0;2/23/12 9:26 AM;2622.0;"cluster_0"
140.78;2.0;"Rider4";4168.0;10/23/13 2:48 PM;2623.0;"cluster_0"
101.59;1.0;"Rider4";8773.0;8/3/13 8:57 AM;2624.0;"cluster_2"
144.98;3.0;"Rider4";16286.0;3/13/14 10:33 AM;2625.0;"cluster_1"
105.42;1.0;"Rider4";5022.0;7/26/13 10:08 AM;2626.0;"cluster_2"
115.62;1.0;"Rider4";12752.0;11/18/13 10:00 AM;2627.0;"cluster_2"
114.17;1.0;"Rider4";10970.0;3/25/14 10:08 AM;2628.0;"cluster_2"
95.44;1.0;"Rider4";14608.0;7/15/14 9:57 AM;2629.0;"cluster_2"
122.63;2.0;"Rider4";15552.0;1/12/13 10:02 AM;2630.0;"cluster_0"
