"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr"
"Rider2";"19/2014";1.0;10038.0;117.32;0;0;0;1.0;5378.0;106.34;0;0;0;0;0;0;2.0;17551.0;125.08;1.0;6503.0;89.35
"Rider1";"19/2014";2.0;8479.0;133.61;2.0;4689.0;138.6;0;0;0;2.0;2020.0;131.21;0;0;0;2.0;3247.0;130.19;1.0;458.0;102.58
"Rider4";"19/2014";0;0;0;2.0;19906.0;139.44;2.0;8850.0;131.3;2.0;17898.0;121.09;1.0;9365.0;90.68;1.0;11470.0;91.12;2.0;20071.0;129.57
"Rider7";"31/2014";1.0;5847.0;107.78;1.0;10649.0;111.79;0;0;0;0;0;0;0;0;0;0;0;0;3.0;8636.0;153.0
"Rider6";"31/2014";3.0;5265.0;142.25;0;0;0;0;0;0;0;0;0;2.0;3655.0;134.24;2.0;23721.0;130.15;1.0;13252.0;116.25
"Rider5";"31/2014";0;0;0;1.0;2549.0;117.6;0;0;0;0;0;0;2.0;4929.0;120.13;2.0;3914.0;136.62;0;0;0
"Rider2";"31/2014";2.0;92072.0;118.01;0;0;0;0;0;0;0;0;0;2.0;3572.0;123.92;3.0;13168.0;148.34;2.0;12156.0;125.09
"Rider1";"31/2014";0;0;0;2.0;16219.0;141.11;2.0;7325.0;120.65;2.0;12282.0;134.48;0;0;0;2.0;12579.0;135.24;1.0;9781.0;98.5
"Rider4";"31/2014";1.0;9487.0;90.23;1.0;8772.0;111.86;2.0;11037.0;121.61;2.0;20276.0;123.26;1.0;8969.0;96.88;1.0;9725.0;104.84;1.0;5401.0;99.34
"Rider7";"35/2014";1.0;6341.0;106.0;1.0;8770.0;113.36;1.0;9401.0;109.34;2.0;9295.0;118.25;1.0;8315.0;106.02;1.0;8501.0;112.67;1.0;12173.0;116.78
"Rider6";"35/2014";0;0;0;0;0;0;2.0;6557.0;129.58;2.0;4044.0;140.27;0;0;0;3.0;5086.0;151.94;0;0;0
"Rider3";"35/2014";0;0;0;2.0;4635.0;136.68;0;0;0;2.0;8179.0;141.07;0;0;0;2.0;9350.0;123.7;1.0;6322.0;116.81
"Rider5";"35/2014";0;0;0;2.0;4510.0;132.94;2.0;6320.0;132.35;2.0;6049.0;131.15;0;0;0;0;0;0;3.0;4325.0;175.78
"Rider2";"35/2014";1.0;7597.0;109.1;0;0;0;1.0;8789.0;115.03;1.0;8516.0;109.22;0;0;0;2.0;14314.0;121.15;0;0;0
"Rider1";"35/2014";1.0;8008.0;102.23;2.0;11965.0;126.65;2.0;4919.0;125.96;3.0;1441.0;179.43;2.0;2922.0;131.52;1.0;4750.0;106.0;3.0;13352.0;155.81
