"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr"
"Rider2";"27/2014";0;0;0;0;0;0;1.0;6727.0;112.01;1.0;5514.0;97.22;0;0;0;1.0;12835.0;112.1;1.0;6229.0;91.66
"Rider1";"27/2014";1.0;4693.0;110.44;1.0;3858.0;114.72;2.0;7196.0;127.6;2.0;18819.0;132.05;0;0;0;2.0;7189.0;133.18;3.0;13081.0;156.91
"Rider4";"27/2014";1.0;10176.0;101.8;1.0;7553.0;108.31;2.0;9925.0;127.14;2.0;13571.0;132.29;1.0;5980.0;99.6;2.0;26628.0;121.32;1.0;16803.0;113.15
"Rider7";"23/2013";0;0;0;1.0;5757.0;111.76;1.0;5317.0;116.12;0;0;0;0;0;0;0;0;0;2.0;8193.0;124.51
"Rider3";"23/2013";0;0;0;1.0;86529.0;101.58;2.0;116242.0;135.23;2.0;6584.0;127.48;0;0;0;0;0;0;0;0;0
"Rider5";"23/2013";0;0;0;1.0;3710.0;95.24;0;0;0;0;0;0;0;0;0;2.0;5298.0;125.08;3.0;3241.0;152.02
"Rider2";"23/2013";0;0;0;1.0;5793.0;111.6;1.0;6096.0;114.69;0;0;0;1.0;2405.0;111.7;1.0;4509.0;113.78;3.0;7810.0;146.23
"Rider1";"23/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;14408.0;143.15
"Rider7";"26/2013";0;0;0;2.0;10439.0;132.45;0;0;0;1.0;3484.0;105.32;0;0;0;0;0;0;1.0;1231.0;95.3
"Rider3";"26/2013";0;0;0;1.0;189570.0;91.59;0;0;0;2.0;8821.0;130.47;0;0;0;0;0;0;0;0;0
"Rider2";"26/2013";0;0;0;1.0;10063.0;113.0;0;0;0;0;0;0;2.0;8804.0;125.21;1.0;3736.0;106.35;0;0;0
"Rider1";"26/2013";0;0;0;0;0;0;3.0;14315.0;142.27;1.0;7872.0;108.61;0;0;0;0;0;0;0;0;0
"Rider4";"26/2013";0;0;0;2.0;15100.0;122.6;1.0;7014.0;117.08;0;0;0;0;0;0;0;0;0;0;0;0
"Rider7";"41/2014";0;0;0;1.0;7238.0;114.59;1.0;74044.0;106.93;1.0;7358.0;110.74;1.0;339058.0;115.18;0;0;0;0;0;0
"Rider6";"41/2014";0;0;0;2.0;7701.0;134.46;0;0;0;0;0;0;0;0;0;3.0;13569.0;143.82;0;0;0
"Rider5";"41/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;10043.0;125.82
"Rider2";"41/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;10305.0;118.76
"Rider1";"41/2014";0;0;0;3.0;8002.0;143.78;0;0;0;2.0;2378.0;134.58;2.0;17978.0;122.79;0;0;0;0;0;0
"Rider7";"16/2014";0;0;0;0;0;0;2.0;8496.0;127.81;1.0;9534.0;111.91;2.0;10281.0;123.5;1.0;6579.0;117.53;0;0;0
"Rider3";"16/2014";0;0;0;0;0;0;2.0;5377.0;121.64;2.0;4379.0;133.51;0;0;0;0;0;0;0;0;0
"Rider5";"16/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2898.0;138.14
"Rider2";"16/2014";1.0;5361.0;114.05;0;0;0;2.0;5368.0;123.49;1.0;4423.0;111.64;0;0;0;1.0;3426.0;113.23;1.0;2178.0;110.22
"Rider1";"16/2014";2.0;5629.0;118.67;0;0;0;0;0;0;3.0;10397.0;142.66;2.0;3787.0;120.52;2.0;17792.0;138.16;0;0;0
"Rider4";"16/2014";1.0;15593.0;102.91;2.0;19649.0;129.29;2.0;10777.0;126.53;2.0;9856.0;140.24;1.0;9802.0;97.53;2.0;15648.0;131.81;0;0;0
"Rider7";"9/2014";0;0;0;0;0;0;2.0;14239.0;124.25;2.0;16872.0;122.07;0;0;0;1.0;8345.0;115.03;2.0;9707.0;119.74
"Rider3";"9/2014";0;0;0;0;0;0;2.0;5511.0;127.13;2.0;5805.0;129.76;2.0;7196.0;119.65;0;0;0;2.0;14943.0;119.4
"Rider5";"9/2014";0;0;0;0;0;0;2.0;6908.0;134.52;0;0;0;0;0;0;2.0;5906.0;134.29;0;0;0
"Rider2";"9/2014";2.0;7328.0;137.01;2.0;7526.0;127.51;2.0;7640.0;122.26;0;0;0;0;0;0;2.0;9491.0;119.24;0;0;0
"Rider4";"9/2014";2.0;12639.0;137.75;0;0;0;2.0;9460.0;121.32;0;0;0;1.0;14074.0;107.35;1.0;11933.0;112.76;1.0;7900.0;111.7
"Rider7";"10/2014";0;0;0;0;0;0;0;0;0;2.0;10582.0;136.96;1.0;11828.0;115.65;1.0;9255.0;112.9;2.0;6297.0;120.9
"Rider3";"10/2014";0;0;0;0;0;0;2.0;6290.0;124.11;2.0;5325.0;132.06;0;0;0;2.0;11293.0;133.99;2.0;6749.0;137.4
"Rider5";"10/2014";0;0;0;0;0;0;0;0;0;2.0;5668.0;127.13;1.0;24182.0;110.37;0;0;0;2.0;12361.0;129.12
"Rider2";"10/2014";0;0;0;0;0;0;2.0;6034.0;123.18;2.0;6217.0;128.42;0;0;0;2.0;11906.0;131.63;1.0;4909.0;108.92
"Rider1";"10/2014";0;0;0;0;0;0;0;0;0;0;0;0;2.0;14851.0;134.42;1.0;30278.0;114.38;0;0;0
"Rider4";"10/2014";1.0;13601.0;103.53;2.0;6806.0;136.42;2.0;11774.0;122.45;3.0;23955.0;142.24;0;0;0;2.0;20092.0;131.94;2.0;15362.0;135.48
"Rider7";"37/2014";1.0;5318.0;112.92;1.0;8689.0;117.03;2.0;4235.0;120.63;0;0;0;1.0;5652.0;110.45;0;0;0;2.0;11686.0;122.39
"Rider6";"37/2014";0;0;0;0;0;0;0;0;0;0;0;0;2.0;5229.0;133.61;0;0;0;1.0;5294.0;101.33
"Rider3";"37/2014";0;0;0;3.0;5744.0;146.07;2.0;7131.0;138.1;0;0;0;0;0;0;2.0;5970.0;134.82;3.0;5573.0;142.36
"Rider5";"37/2014";0;0;0;2.0;6610.0;127.13;0;0;0;0;0;0;2.0;5824.0;132.37;0;0;0;0;0;0
"Rider2";"37/2014";1.0;3343.0;111.7;2.0;8027.0;126.39;0;0;0;0;0;0;1.0;4708.0;99.44;0;0;0;2.0;7471.0;130.72
"Rider1";"37/2014";1.0;2701.0;108.22;2.0;27179.0;126.87;0;0;0;2.0;4345.0;133.86;2.0;10725.0;125.74;2.0;4859.0;120.05;2.0;10431.0;139.61
"Rider4";"37/2014";1.0;12269.0;102.67;2.0;13827.0;129.48;1.0;11553.0;108.99;2.0;11738.0;122.54;1.0;5906.0;93.92;1.0;15281.0;115.09;0;0;0
"Rider7";"19/2013";0;0;0;0;0;0;1.0;3100.0;108.78;1.0;4807.0;104.5;0;0;0;0;0;0;2.0;8052.0;120.05
"Rider3";"19/2013";0;0;0;1.0;5204.0;64.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider2";"19/2013";0;0;0;2.0;4006.0;121.68;1.0;6169.0;112.11;1.0;3569.0;101.62;3.0;9752.0;154.68;2.0;85664.0;133.69;1.0;1134.0;102.18
"Rider7";"30/2014";0;0;0;1.0;10545.0;106.42;1.0;8387.0;113.07;1.0;5138.0;108.76;1.0;4884.0;104.71;2.0;5803.0;136.82;0;0;0
"Rider6";"30/2014";0;0;0;0;0;0;1.0;11989.0;117.54;0;0;0;2.0;3024.0;136.94;3.0;10780.0;155.27;0;0;0
"Rider3";"30/2014";2.0;5803.0;122.69;0;0;0;3.0;14954.0;151.63;2.0;16031.0;123.24;1.0;2049.0;116.61;2.0;1415.0;123.77;0;0;0
"Rider5";"30/2014";0;0;0;1.0;2549.0;117.6;1.0;7043.0;114.37;0;0;0;0;0;0;2.0;3865.0;135.31;3.0;8797.0;146.51
"Rider2";"30/2014";1.0;4902.0;115.67;0;0;0;0;0;0;2.0;7930.0;121.19;0;0;0;0;0;0;1.0;10316.0;84.91
"Rider1";"30/2014";2.0;7445.0;137.99;1.0;23789.0;114.62;2.0;17335.0;132.21;1.0;1088.0;112.25;1.0;5827.0;115.16;2.0;11066.0;138.7;2.0;13309.0;135.61
"Rider4";"30/2014";0;0;0;3.0;7982.0;143.51;3.0;14954.0;151.63;2.0;16031.0;123.24;0;0;0;0;0;0;0;0;0
"Rider7";"10/2013";2.0;68696.0;118.0;2.0;11153.0;122.82;0;0;0;0;0;0;2.0;9070.0;128.51;0;0;0;0;0;0
"Rider3";"10/2013";0;0;0;2.0;330022.0;130.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider5";"10/2013";0;0;0;2.0;10119.0;127.81;2.0;8812.0;122.45;0;0;0;0;0;0;0;0;0;0;0;0
"Rider2";"10/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;14909.0;130.82;0;0;0
"Rider1";"10/2013";0;0;0;3.0;12291.0;147.29;0;0;0;0;0;0;0;0;0;3.0;26533.0;160.54;0;0;0
"Rider4";"10/2013";0;0;0;0;0;0;0;0;0;2.0;8757.0;135.66;2.0;12181.0;129.87;2.0;9623.0;136.4;1.0;746.0;107.57
"Rider7";"25/2014";1.0;9512.0;101.41;1.0;7426.0;110.71;1.0;9681.0;114.37;2.0;11425.0;122.42;2.0;10331.0;119.17;1.0;11486.0;116.16;1.0;12071.0;112.2
"Rider3";"25/2014";0;0;0;0;0;0;2.0;5600.0;125.6;0;0;0;1.0;2764.0;110.78;3.0;5715.0;164.27;0;0;0
"Rider5";"25/2014";0;0;0;0;0;0;2.0;5243.0;119.26;0;0;0;0;0;0;0;0;0;0;0;0
"Rider2";"25/2014";0;0;0;0;0;0;2.0;7273.0;120.86;0;0;0;1.0;6514.0;108.56;0;0;0;0;0;0
"Rider1";"25/2014";0;0;0;0;0;0;2.0;19802.0;125.79;2.0;11883.0;122.37;2.0;4042.0;118.88;3.0;1559.0;164.92;0;0;0
"Rider4";"25/2014";2.0;12874.0;126.35;1.0;11718.0;117.51;2.0;11232.0;126.93;0;0;0;0;0;0;0;0;0;2.0;20711.0;118.92
"Rider7";"9/2013";0;0;0;1.0;14869.0;111.81;1.0;15371.0;110.82;0;0;0;1.0;14576.0;108.02;0;0;0;0;0;0
"Rider5";"9/2013";0;0;0;2.0;6991.0;128.54;2.0;10155.0;120.24;2.0;5398.0;128.1;1.0;5733.0;102.73;0;0;0;0;0;0
"Rider2";"9/2013";0;0;0;2.0;3327.0;119.62;0;0;0;0;0;0;2.0;4823.0;127.37;0;0;0;0;0;0
"Rider1";"9/2013";0;0;0;0;0;0;0;0;0;3.0;15975.0;158.93;0;0;0;3.0;18949.0;146.28;2.0;17326.0;137.8
"Rider7";"7/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;19266.0;133.7
"Rider3";"7/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;19687.0;117.79
"Rider5";"7/2013";0;0;0;0;0;0;2.0;8477.0;127.49;1.0;10088.0;117.47;0;0;0;0;0;0;2.0;15441.0;132.96
"Rider2";"7/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;14578.0;128.78
"Rider1";"7/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;16057.0;132.16;3.0;13969.0;164.52
"Rider4";"7/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;19399.0;120.92
"Rider7";"23/2014";1.0;5081.0;102.49;0;0;0;1.0;5761.0;112.23;1.0;6695.0;112.06;2.0;5602.0;118.77;0;0;0;1.0;9137.0;113.32
"Rider3";"23/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;13432.0;132.01
"Rider5";"23/2014";0;0;0;0;0;0;2.0;9975.0;132.13;0;0;0;0;0;0;1.0;4666.0;102.86;1.0;3772.0;116.45
"Rider1";"23/2014";0;0;0;2.0;6036.0;135.54;2.0;13205.0;134.02;2.0;4896.0;119.33;3.0;1451.0;179.89;0;0;0;3.0;14688.0;154.71
"Rider4";"23/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;12265.0;131.53;2.0;17991.0;137.36
"Rider7";"14/2013";3.0;4597.0;147.97;0;0;0;0;0;0;2.0;8677.0;120.39;0;0;0;2.0;9920.0;124.52;1.0;7709.0;105.8
"Rider5";"14/2013";0;0;0;0;0;0;0;0;0;2.0;6863.0;119.82;0;0;0;0;0;0;2.0;7103.0;130.58
"Rider2";"14/2013";3.0;9784.0;148.93;0;0;0;0;0;0;2.0;6342.0;124.7;0;0;0;2.0;6734.0;129.86;2.0;8280.0;129.11
"Rider4";"14/2013";0;0;0;0;0;0;0;0;0;2.0;13583.0;124.99;2.0;2768.0;124.43;1.0;4422.0;114.25;2.0;14533.0;123.25
"Rider7";"16/2013";0;0;0;2.0;9385.0;123.09;1.0;8072.0;105.51;2.0;9009.0;124.19;0;0;0;1.0;9595.0;115.25;2.0;13206.0;122.14
"Rider3";"16/2013";0;0;0;2.0;6704.0;123.64;2.0;12032.0;125.92;2.0;5143.0;134.76;0;0;0;0;0;0;0;0;0
"Rider5";"16/2013";0;0;0;0;0;0;0;0;0;1.0;5236.0;113.99;2.0;4900.0;129.58;0;0;0;3.0;2631.0;172.27
"Rider2";"16/2013";0;0;0;2.0;6350.0;118.11;0;0;0;1.0;7810.0;116.38;0;0;0;2.0;4918.0;124.62;2.0;8551.0;135.61
"Rider1";"16/2013";1.0;14078.0;104.54;0;0;0;3.0;15751.0;144.54;0;0;0;2.0;7051.0;135.62;3.0;4170.0;142.12;3.0;12711.0;151.97
"Rider4";"16/2013";0;0;0;0;0;0;1.0;9448.0;80.03;2.0;14599.0;140.73;1.0;10107.0;109.57;0;0;0;0;0;0
"Rider7";"33/2013";2.0;172901.0;128.93;0;0;0;2.0;10174.0;137.45;0;0;0;0;0;0;2.0;8847.0;128.87;0;0;0
"Rider3";"33/2013";2.0;4466.0;140.2;3.0;3883.0;145.83;0;0;0;2.0;9070.0;138.76;2.0;10277.0;130.14;2.0;10312.0;131.91;2.0;7155.0;133.71
"Rider5";"33/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2732.0;122.11;3.0;16283.0;162.28
"Rider7";"40/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;9783.0;116.13;0;0;0
"Rider2";"40/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;6479.0;139.76;0;0;0
"Rider4";"40/2013";0;0;0;2.0;4983.0;137.9;2.0;5936.0;119.52;0;0;0;2.0;3011.0;129.25;2.0;13845.0;123.24;0;0;0
"Rider7";"28/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;7206.0;119.11;2.0;6867.0;125.02
"Rider3";"28/2013";0;0;0;2.0;9665.0;130.34;2.0;6978.0;133.62;2.0;9368.0;128.44;0;0;0;0;0;0;0;0;0
"Rider5";"28/2013";0;0;0;3.0;8322.0;144.36;2.0;4562.0;120.87;0;0;0;0;0;0;0;0;0;2.0;7346.0;130.16
"Rider2";"28/2013";1.0;5794.0;85.14;1.0;9522.0;97.39;2.0;6811.0;122.24;2.0;6523.0;128.03;0;0;0;1.0;8636.0;110.5;1.0;11540.0;117.56
"Rider4";"28/2013";2.0;14976.0;138.52;3.0;18574.0;145.4;2.0;17492.0;132.91;0;0;0;2.0;2467.0;120.46;0;0;0;0;0;0
"Rider7";"11/2013";2.0;5437.0;133.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider3";"11/2013";2.0;10710.0;128.08;2.0;4898.0;131.08;0;0;0;0;0;0;0;0;0;0;0;0;2.0;190645.0;124.9
"Rider5";"11/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;3217.0;162.04
"Rider1";"11/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;22266.0;160.33;2.0;9403.0;133.77
"Rider4";"11/2013";1.0;8703.0;106.06;1.0;3377.0;113.83;0;0;0;0;0;0;1.0;6651.0;113.45;2.0;21812.0;134.2;2.0;11543.0;125.55
"Rider7";"42/2014";0;0;0;0;0;0;1.0;9673.0;114.22;1.0;11560.0;104.26;1.0;4698.0;115.06;1.0;9776.0;112.92;0;0;0
"Rider5";"42/2014";0;0;0;2.0;5449.0;124.87;2.0;5568.0;128.38;1.0;7933.0;114.51;2.0;5472.0;128.97;3.0;5474.0;149.98;0;0;0
"Rider2";"42/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;4438.0;128.89;0;0;0
"Rider7";"1/2013";0;0;0;0;0;0;0;0;0;2.0;7065.0;125.62;2.0;4837.0;126.37;2.0;6671.0;129.46;2.0;8942.0;128.53
"Rider3";"1/2013";2.0;7493.0;129.34;2.0;8588.0;136.19;0;0;0;0;0;0;2.0;7395.0;136.1;2.0;84577.0;134.82;2.0;12126.0;131.74
"Rider5";"1/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;5038.0;130.3;2.0;13918.0;129.95
"Rider2";"1/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;9665.0;137.12;0;0;0
"Rider4";"1/2013";3.0;9208.0;149.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider7";"4/2014";0;0;0;0;0;0;2.0;13102.0;125.49;2.0;10003.0;126.55;0;0;0;0;0;0;0;0;0
"Rider3";"4/2014";0;0;0;0;0;0;2.0;7369.0;125.82;2.0;3915.0;122.32;0;0;0;2.0;3359.0;135.83;2.0;3865.0;138.65
"Rider5";"4/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;9512.0;141.32;0;0;0
"Rider2";"4/2014";2.0;5402.0;134.91;2.0;7051.0;137.02;0;0;0;2.0;3741.0;134.56;0;0;0;0;0;0;2.0;27301.0;137.16
"Rider4";"4/2014";1.0;16789.0;114.26;2.0;12608.0;128.96;2.0;20069.0;127.54;1.0;5870.0;115.96;2.0;4603.0;120.1;0;0;0;0;0;0
"Rider7";"41/2013";0;0;0;2.0;5328.0;118.87;0;0;0;1.0;4769.0;109.89;0;0;0;0;0;0;0;0;0
"Rider5";"41/2013";0;0;0;2.0;4807.0;121.13;2.0;7281.0;120.8;0;0;0;0;0;0;0;0;0;0;0;0
"Rider4";"41/2013";0;0;0;0;0;0;0;0;0;1.0;466.0;109.56;3.0;3135.0;147.42;0;0;0;0;0;0
"Rider7";"42/2013";0;0;0;1.0;5338.0;109.41;0;0;0;0;0;0;0;0;0;0;0;0;2.0;8553.0;120.44
"Rider5";"42/2013";0;0;0;2.0;7201.0;137.94;0;0;0;0;0;0;0;0;0;2.0;3973.0;126.13;0;0;0
"Rider4";"42/2013";0;0;0;3.0;2870.0;143.18;0;0;0;0;0;0;0;0;0;3.0;5173.0;149.56;2.0;11709.0;131.34
"Rider7";"20/2013";2.0;6662.0;123.79;1.0;7525.0;114.1;2.0;6881.0;125.03;0;0;0;0;0;0;1.0;5838.0;113.92;2.0;12606.0;131.55
"Rider3";"20/2013";0;0;0;0;0;0;0;0;0;2.0;4975.0;130.06;0;0;0;0;0;0;3.0;8698.0;147.76
"Rider2";"20/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;6520.0;122.24;2.0;10454.0;123.21
"Rider1";"20/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;13047.0;141.79
"Rider4";"20/2013";0;0;0;0;0;0;0;0;0;2.0;12055.0;135.62;0;0;0;0;0;0;0;0;0
"Rider7";"36/2014";1.0;5493.0;111.34;0;0;0;1.0;9685.0;115.86;1.0;9286.0;117.72;1.0;6593.0;100.64;0;0;0;2.0;12240.0;121.67
"Rider6";"36/2014";0;0;0;0;0;0;0;0;0;0;0;0;3.0;3220.0;145.72;0;0;0;1.0;5676.0;112.64
"Rider3";"36/2014";0;0;0;0;0;0;2.0;5979.0;132.24;2.0;7367.0;132.45;0;0;0;0;0;0;0;0;0
"Rider5";"36/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;9543.0;162.43;1.0;4464.0;112.77
"Rider2";"36/2014";0;0;0;0;0;0;1.0;7241.0;114.37;1.0;6381.0;110.48;0;0;0;0;0;0;2.0;9052.0;127.83
"Rider1";"36/2014";1.0;9334.0;109.05;0;0;0;2.0;9887.0;132.62;0;0;0;2.0;8340.0;128.7;2.0;1947.0;121.32;0;0;0
"Rider4";"36/2014";2.0;3472.0;134.77;2.0;1446.0;121.55;2.0;11946.0;118.34;1.0;8071.0;109.62;1.0;12351.0;102.53;1.0;6110.0;95.48;2.0;17411.0;139.87
"Rider7";"43/2013";0;0;0;1.0;7292.0;113.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider5";"43/2013";0;0;0;0;0;0;0;0;0;0;0;0;3.0;4415.0;146.17;3.0;4318.0;151.14;3.0;13421.0;145.26
"Rider2";"43/2013";1.0;6422.0;117.9;0;0;0;0;0;0;0;0;0;0;0;0;1.0;8201.0;116.99;0;0;0
"Rider4";"43/2013";3.0;3837.0;150.64;0;0;0;2.0;4168.0;140.78;2.0;3022.0;122.97;0;0;0;0;0;0;0;0;0
"Rider7";"35/2013";0;0;0;1.0;4467.0;87.81;0;0;0;0;0;0;0;0;0;2.0;8832.0;125.97;2.0;2186.0;120.57
"Rider3";"35/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;7844.0;134.58
"Rider5";"35/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;4627.0;134.06;3.0;3873.0;175.42
"Rider2";"35/2013";0;0;0;0;0;0;1.0;5519.0;116.9;2.0;8068.0;121.79;0;0;0;0;0;0;2.0;14086.0;119.56
"Rider1";"35/2013";0;0;0;1.0;18353.0;114.59;0;0;0;1.0;14464.0;78.64;0;0;0;0;0;0;3.0;16282.0;154.84
"Rider4";"35/2013";0;0;0;2.0;9274.0;128.76;3.0;4046.0;147.78;2.0;7690.0;124.59;3.0;4955.0;142.82;2.0;46229.0;118.55;3.0;9492.0;167.25
"Rider7";"18/2014";0;0;0;0;0;0;2.0;13077.0;123.58;1.0;11297.0;112.9;1.0;9471.0;113.75;0;0;0;1.0;13741.0;111.66
"Rider3";"18/2014";0;0;0;2.0;5640.0;131.56;2.0;5286.0;128.79;2.0;13017.0;135.07;2.0;13947.0;119.59;0;0;0;2.0;7249.0;133.35
"Rider5";"18/2014";0;0;0;0;0;0;2.0;4667.0;130.72;2.0;8198.0;126.45;2.0;7345.0;126.59;0;0;0;1.0;5675.0;109.25
"Rider2";"18/2014";1.0;12451.0;86.05;1.0;16578.0;96.8;0;0;0;0;0;0;1.0;9251.0;105.74;2.0;6121.0;134.69;2.0;3461.0;119.43
"Rider1";"18/2014";3.0;11584.0;141.97;0;0;0;3.0;14290.0;144.39;0;0;0;2.0;14710.0;134.62;0;0;0;3.0;4528.0;157.13
"Rider4";"18/2014";1.0;4635.0;92.89;0;0;0;1.0;8560.0;105.02;2.0;20971.0;118.65;2.0;13112.0;127.78;0;0;0;2.0;19516.0;125.79
"Rider7";"32/2014";0;0;0;2.0;9491.0;118.63;1.0;8582.0;110.58;2.0;7566.0;118.87;1.0;6967.0;107.18;1.0;1121.0;66.89;0;0;0
"Rider6";"32/2014";0;0;0;0;0;0;3.0;2428.0;145.37;0;0;0;1.0;2603.0;116.53;0;0;0;0;0;0
"Rider3";"32/2014";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;12629.0;138.4;3.0;10563.0;160.48
"Rider5";"32/2014";0;0;0;1.0;6493.0;116.99;2.0;5580.0;129.53;0;0;0;2.0;5601.0;121.98;0;0;0;0;0;0
"Rider2";"32/2014";0;0;0;0;0;0;1.0;6760.0;109.03;1.0;22984.0;113.0;1.0;9899.0;103.21;1.0;2197.0;103.88;2.0;17338.0;136.02
"Rider1";"32/2014";0;0;0;2.0;11191.0;131.48;2.0;12740.0;126.45;2.0;6529.0;129.87;3.0;7553.0;157.17;3.0;7238.0;153.97;1.0;576.0;82.52
"Rider4";"32/2014";1.0;8490.0;98.46;2.0;12931.0;139.86;1.0;17688.0;107.81;2.0;18216.0;134.17;1.0;9330.0;98.53;1.0;11877.0;95.02;0;0;0
"Rider7";"46/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;5906.0;136.26;2.0;6265.0;138.23
"Rider5";"46/2013";0;0;0;3.0;4588.0;144.55;3.0;4783.0;142.69;0;0;0;0;0;0;3.0;3180.0;178.11;2.0;7139.0;132.66
"Rider2";"46/2013";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;6530.0;127.96;0;0;0
"Rider4";"46/2013";3.0;5996.0;141.94;2.0;8488.0;122.19;3.0;2642.0;148.15;1.0;8357.0;116.36;2.0;3916.0;137.01;1.0;15790.0;117.38;1.0;16195.0;110.5
"Rider7";"32/2012";0;0;0;1.0;5836.0;111.8;2.0;9371.0;123.04;0;0;0;2.0;6699.0;119.77;1.0;1061.0;102.44;3.0;6645.0;152.69
"Rider3";"32/2012";0;0;0;2.0;8266.0;133.74;2.0;13517.0;125.12;2.0;7020.0;132.61;2.0;13141.0;130.44;2.0;7218.0;140.92;0;0;0
"Rider5";"32/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;6491.0;168.14
"Rider4";"32/2012";0;0;0;2.0;18166.0;123.53;2.0;14562.0;127.0;1.0;15329.0;109.12;2.0;17085.0;126.24;0;0;0;0;0;0
"Rider7";"21/2014";1.0;3725.0;101.65;1.0;2036.0;103.79;1.0;6850.0;105.99;2.0;11312.0;119.73;2.0;6185.0;127.13;2.0;13550.0;118.13;1.0;9086.0;100.77
"Rider6";"21/2014";0;0;0;2.0;7234.0;132.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider3";"21/2014";2.0;9219.0;130.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rider5";"21/2014";0;0;0;3.0;7431.0;141.58;2.0;10506.0;140.65;2.0;9487.0;139.8;0;0;0;2.0;5782.0;136.38;0;0;0
"Rider2";"21/2014";0;0;0;2.0;6862.0;126.26;1.0;14145.0;104.06;2.0;7247.0;126.15;0;0;0;1.0;9288.0;111.22;1.0;10283.0;111.42
"Rider1";"21/2014";2.0;9632.0;133.66;3.0;12724.0;142.02;0;0;0;3.0;10135.0;141.23;2.0;3745.0;129.85;3.0;5769.0;161.5;0;0;0
"Rider4";"21/2014";1.0;9322.0;93.37;1.0;2802.0;86.59;0;0;0;1.0;13041.0;111.97;2.0;25369.0;131.9;2.0;15487.0;130.87;1.0;19683.0;113.01
"Rider7";"2/2014";0;0;0;0;0;0;0;0;0;0;0;0;2.0;7190.0;123.35;2.0;8012.0;124.49;0;0;0
"Rider3";"2/2014";0;0;0;0;0;0;2.0;6667.0;122.43;2.0;6425.0;126.99;2.0;4977.0;118.11;2.0;6804.0;132.41;0;0;0
"Rider5";"2/2014";0;0;0;0;0;0;0;0;0;2.0;5000.0;130.98;2.0;4158.0;129.15;0;0;0;0;0;0
"Rider4";"2/2014";2.0;15016.0;122.46;2.0;17381.0;123.92;2.0;6344.0;127.07;1.0;13959.0;108.58;1.0;13421.0;110.76;2.0;20567.0;136.83;2.0;18350.0;120.09
"Rider7";"6/2014";0;0;0;0;0;0;0;0;0;0;0;0;2.0;9408.0;136.95;0;0;0;0;0;0
